example_id,time_min,CFD_temperature_C,predicted_temperature_C,heating_stage_duration_min
7,10.316666213052262,136.3144,136.24781345676732,10.483332872390747
7,10.333332878986111,136.31801,136.25345227070187,10.483332872390747
7,10.349999544919958,136.32158,136.25915355106227,10.483332872390747
7,10.366666210853808,136.32513,136.26485483142264,10.483332872390747
7,10.383332876787657,136.32866,136.27081073221228,10.483332872390747
7,10.399999542721504,136.33217,136.27730372296986,10.483332872390747
7,10.416666208655354,136.33566,136.28379671372747,10.483332872390747
7,10.433332874589201,136.33911,136.2901445397891,10.483332872390747
7,10.44999954052305,136.34254,136.29573478759377,10.483332872390747
7,10.4666662064569,136.34596,136.30132503539846,10.483332872390747
7,10.483332872390747,136.34935,136.30691528320312,10.483332872390747
7,10.499999539310714,136.34937,136.31932827770947,10.483332872390747
7,10.51666620623068,136.35274,136.2653201281787,10.483332872390747
7,10.533332873150647,136.35635,136.30596717135364,10.483332872390747
7,10.549999540070614,136.35751,136.43692855531,10.483332872390747
7,10.56666620699058,136.36577,136.5363950691375,10.483332872390747
7,10.583332873910546,136.37448,136.54002726885426,10.483332872390747
7,10.599999540830513,136.3293,136.3848492139839,10.483332872390747
7,10.61666620775048,136.13954,136.0431982397558,10.483332872390747
7,10.633332874670447,135.75594,135.50066354455225,10.483332872390747
7,10.649999541590413,135.09924,134.73747399318742,10.483332872390747
7,10.66666620851038,134.10637,133.73426837085253,10.483332872390747
7,10.683332875430347,132.92183,132.53308980873382,10.483332872390747
7,10.699999542350312,131.47656,131.13943049822197,10.483332872390747
7,10.71666620927028,129.80875,129.56731849457637,10.483332872390747
7,10.733332876190246,128.02722,127.83393726120907,10.483332872390747
7,10.749999543110214,126.2457,126.01726176349291,10.483332872390747
7,10.766666210030179,124.32318,124.1631893446721,10.483332872390747
7,10.783332876950146,122.36586,122.28306816678598,10.483332872390747
7,10.799999543870113,120.40854,120.38076107435492,10.483332872390747
7,10.81666621079008,118.41395,118.445857925719,10.483332872390747
7,10.833332877710045,116.41707,116.48004831260894,10.483332872390747
7,10.849999544630013,114.422676,114.49975385323938,10.483332872390747
7,10.86666621154998,112.45603,112.51815783740041,10.483332872390747
7,10.883332878469947,110.48938,110.54920260364791,10.483332872390747
