sequence_index,phase,local_normalized_time,mean_attention_weight,p05_attention_weight,p95_attention_weight
157,heating,0.7889447236180904,0.0030731931,0.0022151312790811063,0.003919511055573821
158,heating,0.7939698492462312,0.003074324,0.0022157010156661273,0.003921718662604689
159,heating,0.7989949748743719,0.003075454,0.0022165918024256827,0.0039271573536098
160,heating,0.8040201005025126,0.003076592,0.0022169288946315645,0.003933795634657144
161,heating,0.8090452261306533,0.00307768,0.002217434998601675,0.003938350640237331
162,heating,0.8140703517587939,0.0030787678,0.0022180616622790696,0.003942835563793779
163,heating,0.8190954773869347,0.0030798323,0.0022188622038811444,0.003944998560473323
164,heating,0.8241206030150754,0.003080859,0.002219697111286223,0.003945611603558064
165,heating,0.8291457286432161,0.003081843,0.0022199278930202125,0.003946775989606977
166,heating,0.8341708542713568,0.0030827967,0.0022210412425920367,0.003947276063263416
167,heating,0.8391959798994975,0.0030837315,0.002221395471133292,0.003948227828368544
168,heating,0.8442211055276382,0.0030846084,0.0022219144506379963,0.003949026297777891
169,heating,0.8492462311557789,0.003085429,0.0022225667024031283,0.0039493032731115815
170,heating,0.8542713567839196,0.0030862552,0.0022231629118323326,0.0039510670583695175
171,heating,0.8592964824120604,0.003087008,0.0022239381680265067,0.003951573465019465
172,heating,0.864321608040201,0.0030877297,0.002224686206318438,0.003952357452362776
173,heating,0.8693467336683417,0.0030884075,0.002225374314002693,0.00395276970230043
174,heating,0.8743718592964824,0.003089113,0.0022260162280872465,0.003953871876001358
175,heating,0.8793969849246231,0.00308974,0.002226774813607335,0.003955162595957518
176,heating,0.8844221105527639,0.003090355,0.0022270251996815205,0.003956344118341803
177,heating,0.8894472361809045,0.0030909753,0.0022275488823652267,0.003957096766680479
178,heating,0.8944723618090452,0.0030915602,0.002228475851006806,0.003957102121785283
179,heating,0.8994974874371859,0.0030921327,0.002229030686430633,0.003957421611994505
180,heating,0.9045226130653267,0.0030926943,0.002229528734460473,0.0039580003824084995
181,heating,0.9095477386934674,0.0030932722,0.0022303601261228325,0.00395891354419291
182,heating,0.914572864321608,0.0030938191,0.002230873960070312,0.003959178039804101
183,heating,0.9195979899497487,0.0030943826,0.0022315002512186765,0.003959777858108282
184,heating,0.9246231155778895,0.003094958,0.0022316829301416872,0.003960566036403179
185,heating,0.9296482412060302,0.0030954822,0.0022325451718643308,0.003961329534649849
186,heating,0.9346733668341709,0.0030960222,0.0022330038947984574,0.003962416667491198
187,heating,0.9396984924623115,0.0030965838,0.0022338850190863012,0.00396255599334836
188,heating,0.9447236180904522,0.0030971172,0.0022341608302667735,0.003963876562193036
189,heating,0.949748743718593,0.003097666,0.002234764886088669,0.003964163269847632
190,heating,0.9547738693467337,0.0030981926,0.00223501471336931,0.00396479507908225
191,heating,0.9597989949748744,0.0030987565,0.0022356365108862518,0.003964985255151987
192,heating,0.964824120603015,0.0030992837,0.0022363382391631602,0.003965449659153819
193,heating,0.9698492462311558,0.003099809,0.002236953587271273,0.0039664234034717085
194,heating,0.9748743718592965,0.0031003526,0.0022374775260686876,0.0039670899976044895
195,heating,0.9798994974874372,0.0031008841,0.002238075342029333,0.003967817313969136
196,heating,0.9849246231155779,0.0031014222,0.002238456788472831,0.0039681393653154375
197,heating,0.9899497487437187,0.0031019456,0.0022391803562641145,0.0039684796705842015
198,heating,0.9949748743718593,0.003102512,0.0022395234322175384,0.003968769731000066
199,heating,1.0,0.0031030397,0.0022402175702154635,0.003969543660059571
200,cooling,0.0,0.0025159256,0.0021116586634889246,0.0028590794187039136
201,cooling,0.005025125628140704,0.0021439148,0.0016716941259801387,0.0025306623661890625
202,cooling,0.010050251256281407,0.0019942913,0.001407176733482629,0.002465675165876745
203,cooling,0.01507537688442211,0.0019237013,0.00127188079059124,0.002459413255564868
204,cooling,0.020100502512562814,0.0018862741,0.0011772841797210276,0.002477799914777279
205,cooling,0.02512562814070352,0.0018543408,0.0011246472597122193,0.0024675863096490502
206,cooling,0.03015075376884422,0.001816423,0.001075248036067933,0.0024331470718607306
207,cooling,0.035175879396984924,0.0017701671,0.0010234200861304998,0.002379851089790463
208,cooling,0.04020100502512563,0.0017173875,0.0009845358785241843,0.002315624663606286
209,cooling,0.04522613065326633,0.0016613663,0.0009520086692646146,0.002235227217897773
210,cooling,0.05025125628140704,0.0016053978,0.0009245678375009447,0.0021662527229636907
211,cooling,0.05527638190954774,0.0015519683,0.0008947914000600576,0.0021077263401821254
212,cooling,0.06030150753768844,0.001502573,0.0008736166288144887,0.0020429176278412343
213,cooling,0.06532663316582915,0.001457771,0.0008512192987836898,0.0019915545126423235
214,cooling,0.07035175879396985,0.0014175841,0.000829292624257505,0.001949623308610171
215,cooling,0.07537688442211056,0.0013817957,0.0008078490733169019,0.0019054556381888686
216,cooling,0.08040201005025126,0.0013501948,0.0007905005069915206,0.0018640443915501237
217,cooling,0.08542713567839195,0.001322635,0.0007735400227829814,0.0018245594576001166
218,cooling,0.09045226130653267,0.0012990294,0.0007597815420012921,0.0017910672700963914
219,cooling,0.09547738693467336,0.0012792492,0.0007425212126690895,0.0017623438034206627
220,cooling,0.10050251256281408,0.0012631738,0.0007299911289010197,0.0017391806002706289
221,cooling,0.10552763819095477,0.0012506342,0.0007174109399784356,0.0017185817472636698
222,cooling,0.11055276381909548,0.0012414892,0.000707047589821741,0.0016934455372393132
223,cooling,0.11557788944723618,0.0012355535,0.0006983374245464802,0.001674531423486769
224,cooling,0.12060301507537688,0.0012326791,0.0006945580302271992,0.0016728571848943828
225,cooling,0.12562814070351758,0.0012326797,0.0006908647483214736,0.001669413410127163
226,cooling,0.1306532663316583,0.0012353355,0.0006895518163219094,0.001673777587711811
227,cooling,0.135678391959799,0.0012404345,0.0006891731405630708,0.0016848948900587857
228,cooling,0.1407035175879397,0.0012477335,0.0006910407857503742,0.001707074465230107
229,cooling,0.1457286432160804,0.0012569696,0.0006933305761776864,0.0017403220641426741
230,cooling,0.15075376884422112,0.0012678826,0.0006935797398909926,0.0017740123206749557
231,cooling,0.15577889447236182,0.0012802153,0.0006942331441678107,0.001809438900090754
232,cooling,0.16080402010050251,0.0012937109,0.0006937354046385735,0.0018494039424695075
233,cooling,0.1658291457286432,0.0013081331,0.0006983717496041209,0.001887710008304566
234,cooling,0.1708542713567839,0.0013232618,0.0007056360191199929,0.001927669602446258
235,cooling,0.17587939698492464,0.0013388987,0.000705422303872183,0.0019636513898149133
236,cooling,0.18090452261306533,0.0013548943,0.0007084911980200559,0.002002476342022419
237,cooling,0.18592964824120603,0.0013710879,0.0007115276297554374,0.0020399376517161727
238,cooling,0.19095477386934673,0.0013873744,0.0007163805072195828,0.002075917366892099
239,cooling,0.19597989949748745,0.0014036463,0.0007193231314886362,0.0021091902861371634
240,cooling,0.20100502512562815,0.0014198197,0.0007238163321744651,0.0021383668994531036
241,cooling,0.20603015075376885,0.0014358314,0.0007283527462277562,0.0021676868200302124
242,cooling,0.21105527638190955,0.0014516229,0.0007334661320783199,0.0021919408347457646
243,cooling,0.21608040201005024,0.0014671481,0.0007339620089624078,0.002217342425137758
244,cooling,0.22110552763819097,0.0014823601,0.0007381556672044099,0.002244187379255891
245,cooling,0.22613065326633167,0.0014972168,0.0007428010052535683,0.0022699130466207864
246,cooling,0.23115577889447236,0.0015116944,0.0007479261024855077,0.0022948852041736246
247,cooling,0.23618090452261306,0.0015257563,0.0007503345084842294,0.0023194762878119943
248,cooling,0.24120603015075376,0.0015393952,0.0007544934516772628,0.0023437922820448874
249,cooling,0.24623115577889448,0.0015526026,0.0007598615193273872,0.002368251048028469
250,cooling,0.25125628140703515,0.0015653525,0.0007647258054930717,0.0023920977022498847
251,cooling,0.2562814070351759,0.0015776596,0.0007690922298934311,0.0024158399552106856
252,cooling,0.2613065326633166,0.0015895327,0.000771698437165469,0.0024313149740919464
253,cooling,0.2663316582914573,0.0016009768,0.0007732063008006662,0.002449545939452946
254,cooling,0.271356783919598,0.0016120045,0.0007771321572363377,0.002470548846758902
255,cooling,0.2763819095477387,0.0016226394,0.0007816340017598123,0.0024853868642821905
256,cooling,0.2814070351758794,0.0016329071,0.0007858693541493267,0.002500818786211312
257,cooling,0.2864321608040201,0.0016428209,0.0007886741892434657,0.0025175263872370124
258,cooling,0.2914572864321608,0.0016524033,0.000791504536755383,0.0025338370352983473
259,cooling,0.2964824120603015,0.001661686,0.0007942615542560816,0.002549238922074437
260,cooling,0.30150753768844224,0.0016706964,0.0007975065265782178,0.002564023993909359
261,cooling,0.3065326633165829,0.0016794272,0.0008004918810911477,0.0025782851269468663
262,cooling,0.31155778894472363,0.0016879343,0.000802506465697661,0.002590935258194804
263,cooling,0.3165829145728643,0.0016962067,0.0008051165379583836,0.0026087561855092645
264,cooling,0.32160804020100503,0.0017042863,0.0008081312174908817,0.0026242524152621624
265,cooling,0.32663316582914576,0.0017121773,0.0008107456495054067,0.0026363884098827835
266,cooling,0.3316582914572864,0.0017198956,0.0008129370980896056,0.002649493305943906
267,cooling,0.33668341708542715,0.0017274576,0.0008150977722834795,0.0026625720784068103
268,cooling,0.3417085427135678,0.0017348835,0.000817673426354304,0.0026718035573139783
269,cooling,0.34673366834170855,0.0017421937,0.0008205345890019089,0.002688465151004493
270,cooling,0.35175879396984927,0.001749394,0.0008236310037318617,0.0027060272172093392
271,cooling,0.35678391959798994,0.0017565055,0.0008266469812951982,0.0027151006972417234
